Music;Artist;Text;Url;Search Status
Pai;FábioJR;Pai Pode ser que daqui a algum tempo Haja tempo pra gente ser mais Muito mais que dois grandes amigos Pai e filho talvez                                              Pai Pode ser que daí você sinta Qualquer coisa entre esses vinte ou trinta Longos anos em busca de paz....  Pai Pode crer Eu tô bem eu vou indo Tô tentando vivendo e pedindo Com loucura pra você renascer...  Pai Eu não faço questão de ser tudo Só não quero e não vou ficar mudo         Pra falar de amor pra você                Pai Senta aqui que o jantar tá na mesa Fala um pouco tua voz tá tão presa Nos ensina esse jogo da vida Onde a vida só paga pra ver  Pai Me perdoa essa insegurança É que eu não sou mais aquela criança Que um dia morrendo de medo Nos teus braços você fez segredo Nos teus passos você foi mais eu                Pai Eu cresci e não houve outro jeito Quero só recostar no teu peito Pra pedir pra você ir lá em casa  E brincar de vovô com meu filho No tapete da sala de estar  Pai Você foi meu herói meu bandido Hoje é mais muito mais que um amigo Nem você nem ninguém tá sozinho Você faz parte desse caminho Que hoje eu sigo em paz;https://api.vagalume.com.br/search.php?art= Fabio JR &mus=Pai&apikey=dc668952146a4a25b6d06586e7b69708;exact
Sampa;CaetanoVeloso;Alguma coisa acontece no meu coração Que só quando cruzo a Ipiranga e Av. São João É que quando eu cheguei por aqui eu nada entendi Da dura poesia concreta de tuas esquinas Da deselegância discreta de tuas meninas Ainda não havia para mim Rita Lee A tua mais completa tradução Alguma coisa acontece no meu coração Que só quando cruza a Ipiranga e avenida São João  Quando eu te encarei frente a frente e não vi o meu rosto Chamei de mau gosto o que vi, de mau gosto, mau gosto É que Narciso acha feio o que não é espelho E à mente apavora o que ainda não é mesmo velho Nada do que não era antes quando não somos mutantes E foste um difícil começo Afasto o que não conheço E quem vende outro sonho feliz de cidade Aprende depressa a chamar-te de realidade Porque és o avesso do avesso do avesso do avesso  Do povo oprimido nas filas, nas vilas, favelas Da força da grana que ergue e destrói coisas belas Da feia fumaça que sobe, apagando as estrelas Eu vejo surgir teus poetas de campos, espaços Tuas oficinas de florestas, teus deuses da chuva Pan-Américas de Áfricas utópicas, túmulo do samba Mas possível novo quilombo de Zumbi E os Novos Baianos passeiam na tua garoa E novos baianos te podem curtir numa boa;https://api.vagalume.com.br/search.php?art= Caetano Veloso &mus=Sampa&apikey=dc668952146a4a25b6d06586e7b69708;exact
PrafrenteBrasil;CoraldeJoab;undefined;https://api.vagalume.com.br/search.php?art= Coral de Joab &mus=Pra-frente-Brasil&apikey=dc668952146a4a25b6d06586e7b69708;notfound
TardeemItapoã;Toquinho,ViníciusdeMoraeseMaríliaMedalha;undefined;https://api.vagalume.com.br/search.php?art= Toquinho, Vinicius de Moraes e Marilia Medalha &mus=Tarde-em-Itapoa&apikey=dc668952146a4a25b6d06586e7b69708;notfound
SangueLatino;SecoseMolhados;Jurei mentiras E sigo sozinho Assumo os pecados Os ventos do norte Não movem moinhos E o que me resta É só um gemido  Minha vida, meus mortos Meus caminhos tortos Meu sangue latino Minh'alma cativa  Rompi tratados Traí os ritos Quebrei a lança Lancei no espaço Um grito, um desabafo E o que me importa É não estar vencido;https://api.vagalume.com.br/search.php?art= Secos e Molhados &mus=Sangue-Latino&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Fiomaravilha;MariaAlcina;E novamente ele chegou com inspiração Com muito amor, com emoção Com explosão e gol, gol Sacudindo a torcida aos 33 minutos Do segundo tempo Depois de fazer uma jogada celestial Em gol, gol Tabelou, driblou dois zagueiros Deu um toque driblou o goleiro Só não entrou com bola e tudo Porque teve humildade em gol, gol Foi um gol de classe Onde ele mostrou sua malícia e sua raça Foi um gol de anjo  Um verdadeiro gol de placa (2x) Que a galera agradecida assim cantava Fio Maravilha, nós gostamos de você Fio Maravilha faz mais um pra gente ver (2x);https://api.vagalume.com.br/search.php?art= Maria Alcina &mus=Fio-maravilha&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Paralelas;Vanusa;Dentro do carro,  sobre o trevo, a cem por hora,  o meu amor Só tens agora os carinhos do motor E no escritório onde eu trabalho  e fico rico quanto mais eu multiplico,  dimimui o meu amor... Em cada luz de mercúrio, vejo a luz do teu olhar Passas praças, viadutos,  nem te lembras de voltar, de voltar, de voltar... No corcovado quem abre os braços, sou eu Copacabana esta semana, o mar, sou eu  e as borboletas do que fui pousam demais  por entre as flores do asfalto em que tu vais...  E as paralelas dos pneus n'água das ruas São duas estradas nuas   em que foges do que é teu No apartamento, oitavo andar, abro a vidraça e grito quando o carro passa: - Teu infinito sou eu, sou eu, sou eu, sou eu No Corcovado, quem abre os braços, sou eu,  Copocabana esta semana, o mar, sou eu   e as borboletas do que fui pousam demais  por entre as flores do asfalto em que tu vais.;https://api.vagalume.com.br/search.php?art= Vanusa &mus=Paralelas&apikey=dc668952146a4a25b6d06586e7b69708;exact
NaRua,naChuva,naFazenda;HyldonSouza;undefined;https://api.vagalume.com.br/search.php?art= Hyldon Souza &mus=Na-Rua,-na-Chuva,-na-Fazenda&apikey=dc668952146a4a25b6d06586e7b69708;notfound
Sonhos;Peninha;Tudo era apenas uma brincadeira E foi crescendo, crescendo, me absorvendo  E de repente eu me vi assim completamente seu Vi a minha força amarrada no seu passo Vi que sem você não tem caminho, eu não me acho Vi um grande amor gritar dentro de mim como eu sonhei um dia Quando o meu mundo era mais mundo E todo mundo admitia Uma mudança muito estranha Mais pureza, mais carinho, mais calma, mais alegria       no meu jeito de me dar Quando a canção se fez mais forte e mais sentida Quando a poesia fez folia em minha vida Você veio me contar dessa paixão inesperada  Por outra pessoa Mas não tem revolta não Eu só quero que você se encontre           Ter Saudade até que é bom  É melhor que caminhar vazio A esperança é um Dom Que eu tenho em mim Eu tenho sim Não tem desespero não  Você me ensinou milhões de coisas Tenho um sonho em minhas mãos Amanhã será um novo dia Certamente eu vou ser mais feliz;https://api.vagalume.com.br/search.php?art= Peninha &mus=Sonhos&apikey=dc668952146a4a25b6d06586e7b69708;exact
Meumundoenadamais;GuilhermeArantes;Quando eu fui ferido Vi tudo mudar Das verdades Que eu sabia  Só sobraram restos E eu não esqueci Toda aquela paz Que eu tinha  Eu que tinha tudo Hoje estou mudo Estou mudado À meia-noite, à meia luz Pensando! Daria tudo por um modo de esquecer  Eu queria tanto Estar no escuro do meu quarto À meia-noite, à meia luz Sonhando! Daria tudo por meu mundo e nada mais  Não estou bem certo Se ainda vou sorrir Sem um travo de amargura  Como ser mais livre Como ser capaz De enxergar um novo dia  Eu que tinha tudo Hoje estou mudo Estou mudado À meia-noite, à meia luz Pensando! Daria tudo por um modo de esquecer  Eu queria tanto Estar no escuro do meu quarto À meia-noite, à meia luz Sonhando! Daria tudo por meu mundo e nada mais  Eu queria tanto Estar no escuro do meu quarto À meia-noite, à meia luz Sonhando! Daria tudo por meu mundo e nada mais;https://api.vagalume.com.br/search.php?art= Guilherme Arantes &mus=Meu-mundo-e-nada-mais&apikey=dc668952146a4a25b6d06586e7b69708;aprox
ExplodeCoração;MariaBethânia;Chega de tentar dissimular E disfarçar e esconder O que não da mais pra ocultar E eu não posso mais calar Já que o brilho desse olhar foi traidor E entregou o que você tentou conter O que você não quis desabafar e me cortou  Chega de temer,chorar,sofrer Sorrir,se dar,e se perder,e se achar Que tudo aquilo que é viver, Eu quero  mais é me abrir E que essa vida entre assim Como se fosse o sol Desvirginando a madrugada Quero sentir a dor dessa manhã  Nascendo,rompendo,rasgando, E tomando meu corpo e então eu Chorando,sofrendo,gostando,adorando,gritando Feito louco, alucinado e criança Sentindo o meu amor se derramando Não da mais pra segurar Explode coração;https://api.vagalume.com.br/search.php?art= Maria Bethania &mus=Explode-Coracao&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Nãoexistepecadoaosuldoequador;NeyMatogrosso;Não existe pecado do lado de baixo Do Equador Vamos fazer um pecado, Rasgado, suado a todo vapor  Me deixa ser teu escracho Capacho, teu cacho, diacho Um riacho de amor Quando é lição de esculacho  Olha aí, sai de baixo Que eu sou professor Deixa a tristeza pra lá Vem comer, me jantar  Sarapatel, caruru, tucupi, tacacá Vê se me usa, me abusa, lambuza Que a tua cafuza Não pode esperar  Deixa a tristeza pra lá Vem comer, me jantar Sarapatel, caruru, tucupi, tacacá Vê se me esgota, me bota na mesa Que a tua holandesa Não pode esperar;https://api.vagalume.com.br/search.php?art= Ney Matogrosso &mus=Nao-existe-pecado-ao-sul-do-equador&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Superhomem(acanção);GilbertoGil;undefined;https://api.vagalume.com.br/search.php?art= Gilberto Gil &mus=Superhomem-(a-cancao)&apikey=dc668952146a4a25b6d06586e7b69708;song_notfound
Madalena;ElisRegina;Oh Madalena, o meu peito percebeu que o mar é uma gota comparado ao pranto meu  Fique certa, quando o nosso amor desperta logo o sol se desespera e se esconde lá na serra  Madalena, o que é meu não se divide Nem tampouco se admite Quem do nosso amor duvide  Até a lua se arrisca num palpite Que o nosso amor existe Forte ou fraco alegre ou triste;https://api.vagalume.com.br/search.php?art= Elis Regina &mus=Madalena&apikey=dc668952146a4a25b6d06586e7b69708;exact
Vocêabusou;AntonioCarloseJocafi;Você abusou Tirou partido de mim Abusou Tirou partido de mim Abusou Tirou partido de mim Abusou Mas não faz mal É tão normal ter desamor É tão cafona sofrer dor Que já não sei se é meninice ou cafonice O meu amor Se o quadradismo dos meus versos Vai de encontro aos intelectos Que não usam o coração Como expressão  Voce Abusou ....  Que me perdoe Se eu insisto nesse tema Mas não sei fazer poema ou canção Que fale de outra coisa Que não seja o amor Se o quadradismo dos meus versos...  Essa música é a 1ª faixa do lado A do LP Mudei de Idéia de 1971;https://api.vagalume.com.br/search.php?art= Antonio Carlos e Jocafi &mus=Voce-abusou&apikey=dc668952146a4a25b6d06586e7b69708;aprox
AzulDaCorDoMar;TimMaia;Ah! Se o mundo inteiro me pudesse ouvir Tenho muito pra contar Dizer que aprendi      E na vida a gente tem que entender Que um nasce pra sofrer Enquanto o outro ri  Mas quem sofre sempre tem que procurar Pelo menos vir a achar Razão para viver  Ver na vida  algum motivo pra sonhar Ter um sonho todo azul Azul da cor do mar;https://api.vagalume.com.br/search.php?art= Tim Maia &mus=Azul-Da-Cor-Do-Mar&apikey=dc668952146a4a25b6d06586e7b69708;aprox
DancingDays;AsFrenéticas;Abra suas asas, solte suas feras, caia na gandaia, entre nessa festa E leve com vocêee seu sonho mais loouuco Eu quero ver seu corpo,  lindo, leve e solto A gente as vezes, sente, sofre, dança,  sem querer dançar Na nossa festa vale tudo  vale ser alguém como eu,  como você  Abra suas asas, solte suas feras, caia na gandaia, entre nessa festa E leve com vocêee seu sonho mais loouuco Eu quero ver seu corpo,  lindo, leve e solto A gente as vezes, sente, sofre, dança,  sem querer dançar Na nossa festa vale tudo  vale ser alguém como eu,  como você  A gente as vezes, sente, sofre, dança,  sem querer dançar Na nossa festa vale tudo  vale ser alguém como eu,  como você  Dance bem, dance mal, dance sem parar dance bem, dance até, sem saber dançar  Dance bem, dance mal, dance sem parar dance bem, dance até, sem saber dançar  Na nossa festa vale tudo  vale ser alguém como eu,  como você   Na nossa festa vale tudo  vale ser alguém como eu,  como você   Na nossa festa vale tudo  vale ser alguém como eu,  como você   Dance bem, dance mal, dance sem parar dance bem, dance até, sem saber dançar  Dance bem, dance mal, dance sem parar dance bem, dance até, sem saber dançar  Na nossa festa vale tudo  vale ser alguém como eu,  como você (4x);https://api.vagalume.com.br/search.php?art= As Freneticas &mus=Dancing-Days&apikey=dc668952146a4a25b6d06586e7b69708;aprox
CidadeDoSalvador;EuSóQueroUmXodó;undefined;https://api.vagalume.com.br/search.php?art= Eu So Quero Um Xodo &mus=Cidade-Do-Salvador&apikey=dc668952146a4a25b6d06586e7b69708;notfound
MinhaMadrinha,MangueiraQuerida;JairRodrigues;undefined;https://api.vagalume.com.br/search.php?art= Jair Rodrigues &mus=Minha-Madrinha,-Mangueira-Querida&apikey=dc668952146a4a25b6d06586e7b69708;song_notfound
Excuseme;Junior;undefined;https://api.vagalume.com.br/search.php?art= Junior &mus=Excuse-me&apikey=dc668952146a4a25b6d06586e7b69708;song_notfound
OQueSeráQueSerá?;ChicoBuarqueeMíltonNascimento;undefined;https://api.vagalume.com.br/search.php?art= Chico Buarque e Milton Nascimento &mus=O-Que-Sera-Que-Sera?&apikey=dc668952146a4a25b6d06586e7b69708;notfound
Flying;ChrisdeBurgh;Flying, I thought I'd never learn that flying I thought I'd spend my whole life trying, For flying is that ancient art of keeping one foot on the ground...  Lying, I thought I'd never keep from lying, I thought I'd lose it all by sighing, For lying is that ancient art of hiding words that will never be found  Crying, I thought I'd never stop that crying, I thought I'd always dream of dying For crying is that ancient art of weeping rivers into the ground  Oh Dying, I thought I'd never see that dying, I thought I'd spend my whole life flying, For dying is that ancient art of keeping one world turning round  Sighing, I thought I'd never keep from sighing I thought I'd always be there crying, For sighing is that ancient art of breathing sadness all around  And trying, I thought I'd spend my seasons trying, I thought I could stop myself from lying, For trying is that ancient art of proving that the world is round  Oh Flying, oh oh, Lying, oh oh, Crying, oh oh, Sighing, oh oh, Trying, oh oh, and Dying, oh oh, For Dying is that ancient art of growing flowers in the ground, Yes it is...;https://api.vagalume.com.br/search.php?art= Chris de Burgh &mus=Flying&apikey=dc668952146a4a25b6d06586e7b69708;exact
Ifyouleavemenow;Chicago;If you leave me now You'll take away the biggest part of me Ooh no, baby please don't go  And if you leave me now You'll take away the very heart of me Ooh no, baby please don't go Ooh girl, I just want you to stay  A love like ours is love that's hard to find How could we let it slip away  We've come too far to leave it all behind How could we end it all this way  When tomorrow comes and we both regret The things we said today  A love like ours is love that's hard to find How could we let it slip away  We've come too far to leave it all behind How could we end it all this way  When tomorrow comes and we both regret The things we said today  If you leave me now You'll take away the biggest part of me Ooh no, baby please don't go  Ooh doll, just got to have you by my side Ooh no, baby please don't go Ooh my my, just got to have your lovin';https://api.vagalume.com.br/search.php?art= Chicago &mus=If-you-leave-me-now&apikey=dc668952146a4a25b6d06586e7b69708;exact
Começardenovo;Simone;começar de novo e contar comigo vai valer a pena  ter amanhecido ter me rebelado ter me debatido ter me machucado ter sobrevivido ter virado a mesa ter me conhecido ter virado o barco  ter me socorrido começar de novo e contar comigo vai valer a pena ter amanhecido sem as tuas garras  sempre tão seguras sem o teu fantasma  sem tua moldura sem tuas escoras sem o teu domínio sem tuas esporas sem o teu fascínio começar de novo e contar comigo vai valer a pena  ter amanhecido sem as tuas garras  sempre tão seguras  sem o teu fantasma  sem tua moldura sem tuas escoras sem o teu domínio sem tuas esporas  sem o teu fascínio começar de novo e contar comigo vai valer a pena  já ter te esquecido;https://api.vagalume.com.br/search.php?art= Simone &mus=Comecar-de-novo&apikey=dc668952146a4a25b6d06586e7b69708;exact
FlordeLis;Djavan;Valei-me, Deus! É o fim do nosso amor Perdoa, por favor Eu sei que o erro aconteceu Mas não sei o que fez Tudo mudar de vez Onde foi que eu errei? Eu só sei que amei, Que amei, que amei, que amei  Será talvez Que minha ilusão Foi dar meu coração Com toda força Pra essa moça Me fazer feliz E o destino não quis Me ver como raiz De uma flor de lis  E foi assim que eu vi Nosso amor na poeira, Poeira Morto na beleza fria de Maria  E o meu jardim da vida Ressecou, morreu Do pé que brotou Maria Nem margarida nasceu.  E o meu jardim da vida Ressecou, morreu Do pé que brotou Maria Nem margarida nasceu.   © 1976 BMG Music Publishing Brasil.;https://api.vagalume.com.br/search.php?art= Djavan &mus=Flor-de-Lis&apikey=dc668952146a4a25b6d06586e7b69708;exact
It’sTooLate;CaroleKingeJamesTaylor;undefined;https://api.vagalume.com.br/search.php?art= Carole King e James Taylor &mus=It’s-Too-Late&apikey=dc668952146a4a25b6d06586e7b69708;requestError
Perigosa;AsFreneticas;Eu sei que eu sou bonita e gostosa E sei que você me olha e me quer Eu sou uma fera de pele macia Cuidado, garoto, eu sou perigosa  Eu tenho um veneno no doce da boca Eu tenho um demônio guardado no peito Eu tenho uma faca no brilho dos olhos Eu tenho uma louca, dentro de mim  Eu sei que eu sou bonita e gostosa E sei que você me olha e me quer Eu sou uma fera de pele macia Cuidado, garoto, eu sou perigosa  Eu posso te dar, um pouco de fogo Eu posso prender, você meu escravo Eu faço você feliz e sem medo Eu vou fazer você ficar louco Muito louco, muito louco Dentro de mim;https://api.vagalume.com.br/search.php?art= As Freneticas &mus=Perigosa&apikey=dc668952146a4a25b6d06586e7b69708;exact
JesusCristo;RpbertoCarlos;undefined;https://api.vagalume.com.br/search.php?art= Rpberto Carlos &mus=Jesus-Cristo&apikey=dc668952146a4a25b6d06586e7b69708;notfound
TooMuchHeaven;BeeGees;Nobody gets too much heaven no more It's much harder to come by I'm waiting in line Nobody gets too much love anymore It's as high as a mountain And harder to climb  Oh you and me girl Got a lot of love in store And it flows through you and it flows through me And I love you so much more And my love I can see beyond forever Everything we own will never die  Love is such a beautiful thing Oh you make my world a summer day Are you just a dream to fade away  Nobody gets too much heaven no more It's much harder to come by I'm waiting in line Nobody gets too much love anymore It's as high as a mountain And harder to climb  You and me girl Got a highway to the sky We can turn away from the night to day And the tears we had to cry  You're my life I can see a new tomorrow Everything we own never die Love is such a beautiful thing When you are to me the light above Made for all to see Our precious love  Nobody gets too much heaven no more It's much harder to come by I'm waiting in line Nobody gets too much love anymore It's as high as a mountain And harder to climb  Love is such a beautiful thing You make my world a summer day Are you just a dream to fade away  Nobody gets too much heaven no more It's much harder to come by I'm waiting in line Nobody gets too much love anymore It's as high as a mountain And harder to climb  Nobody gets too much love anymore It's as wide as a river and harder to cross  Nobody gets too much heaven no more It's much harder to come by I'm waiting in line Nobody gets too much love anymore It's as high as a mountain And harder to climb;https://api.vagalume.com.br/search.php?art= Bee Gees &mus=Too-Much-Heaven&apikey=dc668952146a4a25b6d06586e7b69708;aprox
Gita;RaulSeixas;"Eu que já andei pelos quatro cantos do mundo procurando, foi justamente num sonho que Ele me falou"  Às vezes você me pergunta Por que é que eu sou tão calado Não falo de amor quase nada Nem fico sorrindo ao teu lado  Você pensa em mim toda hora Me come, me cospe, me deixa  Talvez você não entenda Mas hoje eu vou lhe mostrar  Eu sou a luz das estrelas Eu sou a cor do luar Eu sou as coisas da vida Eu sou o medo de amar  Eu sou o medo do fraco A força da imaginação O blefe do jogador Eu sou, eu fui, eu vou  Gita gita gita gita gita  Eu sou o seu sacrifício A placa de contra-mão O sangue no olhar do vampiro E as juras de maldição  Eu sou a vela que acende Eu sou a luz que se apaga Eu sou a beira do abismo Eu sou o tudo e o nada  Por que você me pergunta Perguntas não vão lhe mostrar Que eu sou feito da terra Do fogo, da água e do ar  Você me tem todo dia Mas não sabe se é bom ou ruim Mas saiba que eu estou em você Mas você não está em mim  Das telhas eu sou o telhado A pesca do pescador A letra A tem meu nome Dos sonhos eu sou o amor  Eu sou a dona de casa Nos pegue-pagues do mundo Eu sou a mão do carrasco Sou raso, largo, profundo  Gita gita gita gita gita  Eu sou a mosca da sopa E o dente do tubarão Eu sou os olhos do cego E a cegueira da visão  Mas eu sou o amargo da língua A mãe, o pai e o avô O filho que ainda não veio O início, o fim e o meio (2x) Eu sou o início, o fim e o meio (3x);https://api.vagalume.com.br/search.php?art= Raul Seixas &mus=Gita&apikey=dc668952146a4a25b6d06586e7b69708;exact
